ID,MOD 1.6,MOD 1.2,MOD 5.6,MOD 5.2,MOD 4.5,MOD 3.2,MOD 3.6,MOD 7.5,MOD 7.6,MOD 6.5,MOD 4.3,MOD 9.4,MOD 2.1,MOD 3.5,MOD 6.3,MOD 2.2,MOD 7.4,MOD 6.6,MOD 8.6,MOD 4.2,MOD 7.2,MOD 4.1,MOD 8.3,MOD 3.4,MOD 10.5,MOD 8.1,MOD 1.5,MOD 2.4,MOD 10.3,MOD 5.4,MOD 6.2,MOD 9.2,MOD 9.6,MOD 11.4,MOD 6.4,MOD 1.3,MOD 6.1,MOD 11.5,MOD 5.1,MOD 1.4,MOD 8.5,MOD 8.2,MOD 3.1,MOD 4.4,MOD 2.6,MOD 8.4,MOD 9.5,MOD 1.1,MOD 7.3,MOD 9.3,MOD 2.3,MOD 4.6,MOD 7.1,MOD 3.3,MOD 5.3,MOD 5.5,MOD 11.3,MOD 10.4,MOD 12.3,MOD 12.4,MOD EAL1,MOD EAL2,MOD EAL3,MOD MR1,MOD MR2,MOD MR3,MOD CHELS,MOD OUV,MOD CP5,MOD CP6
,,,,,,,,,13,11.72,,,,,16.17,,,,,,,,,,,,,,,14.37,,,,,,,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25,,,,,,
,,,,,,13.34,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,13.5,,,,,,,,,,,,,,,,,10.65,,,,,,,,,,,,,,14,,
,12.95,,,,,,,,,14.3,,,,,15.42,,,,,12.91,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12.75,,,,,,,,,,,,,,,,,,,16.5,,,,,14.13,,,14.35,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,
,,13.1,12.53,,,,,,,14.89,,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,
,,,,,,14,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,16.75,,,,,,,,,,,,14.1,,,,,15.35,,10.65,,,,,,,,,,,,,,,,
,,,,,,14.84,,,,,,,14.25,,,,,13.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,18,,,
,,,,,,,,,,,,,,,16.17,,,,,,,15.88,,,,,,13.5,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attente,attente
,,,,,,,,,,10.4,,,,,,,,,15.04,,,,,,,,,,,,,,,,,,,,,16.41,,,,,,,,,14.85,,,,12.4,,,,,,,,,,,,,,,13,,
,,,,,,12,,,,12.43,,,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,,,,,,,13.66,18.3,,,,,,,,,,,,,,,,,,
