name,School,Blue Hair,Duff Fan,Evil,Male,Power Plant,val
0,0,0,0,0,0,0,3
1,1,0,0,0,0,0,1
2,0,1,0,0,0,0,2
3,0,0,1,0,0,0,0
4,0,0,0,1,0,0,0
5,0,0,0,0,1,0,3
6,0,0,0,0,0,1,0
7,1,1,0,0,0,0,0
8,1,0,1,0,0,0,0
9,1,0,0,1,0,0,0
10,1,0,0,0,1,0,3
11,1,0,0,0,0,1,0
12,0,1,1,0,0,0,0
13,0,1,0,1,0,0,0
14,0,1,0,0,1,0,0
15,0,1,0,0,0,1,0
16,0,0,1,1,0,0,0
17,0,0,1,0,1,0,2
18,0,0,1,0,0,1,0
19,0,0,0,1,1,0,2
20,0,0,0,1,0,1,0
21,0,0,0,0,1,1,0
22,1,1,1,0,0,0,0
23,1,1,0,1,0,0,0
24,1,1,0,0,1,0,1
25,1,1,0,0,0,1,0
26,1,0,1,1,0,0,0
27,1,0,1,0,1,0,0
28,1,0,1,0,0,1,0
29,1,0,0,1,1,0,1
30,1,0,0,1,0,1,0
31,1,0,0,0,1,1,0
31,0,1,1,1,0,0,0
32,0,1,1,0,1,0,0
33,0,1,1,0,0,1,0
34,0,1,0,1,1,0,0
35,0,1,0,1,0,1,0
36,0,1,0,0,1,1,0
37,0,0,1,1,1,0,1
38,0,0,1,1,0,1,0
39,0,0,1,0,1,1,3
40,0,0,0,1,1,1,2
